timestamp,temperature_data,Humidity,Rpm,sound_dB,Amplitude,Frequency
2026-06-12 13:32:17,27,70,3730,42.41148,1.295,993.82098
2026-06-12 13:32:18,27,70,3730,42.41148,1.295,993.82098
2026-06-12 13:32:20,27,70,3730,42.41148,1.295,993.82098
2026-06-12 13:32:21,27,70,3730,42.41148,0.545,993.82098
2026-06-12 13:32:22,27,70,3730,42.41148,0.545,993.82098
2026-06-12 13:32:23,27,70,3722,42.41148,0.545,1067.01843
2026-06-12 13:32:24,27,70,3722,42.41148,0.545,1067.01843
2026-06-12 13:32:26,27,70,3722,42.41148,0.538,1067.01843
2026-06-12 13:32:27,27,70,3722,42.41148,0.538,1067.01843
2026-06-12 13:32:28,27,70,3688,42.41148,0.538,1007.88733
2026-06-12 13:32:29,27,70,3688,42.41148,0.538,1007.88733
2026-06-12 13:32:31,27,70,3688,42.41148,0.493,1007.88733
2026-06-12 13:32:32,27,70,3688,42.41148,0.493,1007.88733
2026-06-12 13:32:33,27,70,3688,42.41148,0.493,1007.88733
2026-06-12 13:32:34,27,70,3726,42.41148,0.493,941.22968
2026-06-12 13:32:35,27,70,3726,42.41148,0.493,941.22968
2026-06-12 13:32:37,27,70,3726,42.41148,0.281,941.22968
2026-06-12 13:32:38,27,70,3726,42.41148,0.281,941.22968
2026-06-12 13:32:39,27,70,3718,42.41148,0.281,961.21039
2026-06-12 13:32:40,27,70,3718,42.41148,0.281,961.21039
2026-06-12 13:33:04,27,70,3727,42.41148,0.003,978.79858
2026-06-12 13:33:09,27,70,3727,42.41148,0.003,978.79858
2026-06-12 13:33:12,27,70,3727,42.41148,0.003,978.79858
2026-06-12 13:33:16,27,70,3727,42.41148,0.003,978.79858
2026-06-12 13:33:23,27,70,3727,42.41148,0.003,978.79858
2026-06-12 13:33:29,27,70,3727,42.41148,0.003,978.79858
2026-06-12 13:33:31,27,70,3727,42.41148,0.003,978.79858
2026-06-12 13:33:34,27,70,3727,42.41148,0.003,978.79858
2026-06-12 13:33:36,27,70,3747,42.41148,0.003,976.0451
2026-06-12 13:33:39,27,70,3747,42.41148,0.003,976.0451
2026-06-12 13:33:41,27,70,3747,42.41148,0.146,976.0451
2026-06-12 13:33:44,27,70,3747,42.41148,0.146,976.0451
2026-06-12 13:33:46,27,70,3747,42.41148,0.146,962.36395
2026-06-12 13:33:49,27,70,3747,42.41148,0.146,962.36395
2026-06-12 13:33:51,27,70,3747,42.41148,0.126,962.36395
2026-06-12 13:33:54,27,70,3720,42.41148,0.126,950.37476
2026-06-12 13:33:57,27,70,3720,42.41148,0.126,950.37476
2026-06-12 13:34:00,27,70,3720,42.41148,0.126,950.37476
2026-06-12 13:34:03,27,70,3720,42.41148,0.126,950.37476
2026-06-12 13:34:05,27,70,3720,42.41148,0.193,950.37476
2026-06-12 13:34:08,27,70,3753,42.41148,0.193,950.37476
2026-06-12 13:34:10,27,70,3753,42.41148,0.193,895.46802
2026-06-12 13:34:12,27,70,3753,42.41148,0.723,895.46802
2026-06-12 13:34:14,27,70,3717,42.41148,0.723,902.35083
2026-06-12 13:34:16,27,70,3717,42.41148,0.137,902.35083
2026-06-12 13:34:18,27,70,3718,42.41148,0.137,845.04352
2026-06-12 13:34:21,27,70,3718,42.41148,1.114,845.04352
2026-06-12 13:34:23,27,70,3718,42.41148,1.114,845.04352
2026-06-12 13:34:25,27,70,3718,42.41148,1.114,875.2583
2026-06-12 13:34:28,27,70,3718,42.41148,0.431,875.2583
2026-06-12 13:34:30,27,70,3711,42.41148,0.431,842.79034
2026-06-12 13:34:32,27,70,3711,42.41148,0.123,842.79034
2026-06-12 13:34:34,27,70,3718,42.41148,0.123,856.71832
2026-06-12 13:34:36,27,70,3718,6.94338,0.043,856.71832
2026-06-12 13:34:38,27,70,3723,6.94338,0.043,902.55267
2026-06-12 13:34:41,27,70,3723,6.94338,0.043,902.55267
2026-06-12 13:34:43,27,70,3723,42.41148,0.87,902.55267
2026-06-12 13:34:45,27,70,3740,42.41148,0.87,873.95563
2026-06-12 13:34:48,27,70,3740,42.41148,0.184,873.95563
2026-06-12 13:34:50,27,70,3729,42.41148,0.184,873.95563
2026-06-12 13:34:53,27,70,3729,42.41148,0.184,856.93616
2026-06-12 13:34:55,27,70,3729,42.41148,0.179,856.93616
2026-06-12 13:34:57,27,70,3714,42.41148,0.179,877.73724
